Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Tags
Piltown - Mountain Grove Loop,http://www.trailkilkenny.ie,+353(0)567752111,-7.34111359480207,52.3537317834319,Kilkenny,,Ireland,"Walking,Natural Landscape"
Drewstown Woods - Girley Bog Loop,http://www.irishtrails.ie,+353(0)469248856,-6.93338233325073,53.6740628176121,Meath,Kells,Ireland,"Walking,Natural Landscape"
Fawnglass Loop,https://www.irishtrails.ie/trail/Clare-Island---Fawnglass-loop/143/,,-9.9881419536732,53.7924554847732,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Lough Coolaknick Loop,http://www.inishturkisland.com/things-to-do/looped-walks,,-10.1066283319689,53.7034637529079,Mayo,Inishturk,Republic of Ireland,"Walking,Island,Offshore Island"
Rath Beag Loop,https://www.sportireland.ie/outdoors/walking/trails/rath-beag-loop,,-7.5833235,52.3136617999999,Waterford,,Ireland,"Walking,Natural Landscape"
Lough Mohra Loop,https://www.sportireland.ie/outdoors/walking/trails/lough-mohra-loop,,-7.58628264054004,52.3198744373685,Waterford,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Glanageenty Loop,http://www.irishtrails.ie/Trail/Glanageenty-loop-/112/,,-9.45894969585576,52.2329715133028,Kerry,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Jenkinstown Wood - Walled Garden Loop,http://www.irishtrails.ie/Trail/Jenkinstown-Wood---Walled-Garden-loop/124/,,-7.28980498656721,52.7305068893433,Kilkenny,Jenkinstown,Ireland,"Walking,Gardens,Garden,Natural Landscape"
Jenkinstown Wood Loop,http://www.irishtrails.ie/Trail/Jenkinstown-Wood---Jenkinstown-Wood-loop/125/,,-7.28448348388166,52.7311695788291,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Crone Woods - Maulin Mountain Loop,http://www.coillteoutdoors.ie,,-6.217855,53.165044,Wicklow,,Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Donadea Forest Park - Aylmer Loop,http://www.coillteoutdoors.ie/sites_and_trails/recreation_site_information/?rec_site=5&activity=&no_cache=1,,-6.77292302671348,53.328444456581,Kildare,,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Achill Cycle Hub,http://www.irishtrails.ie/Trail/Achill-Cycle-Hub---Loop-1/1144/,+353(0)9847353,-9.99073259547387,53.9626100660387,Mayo,Cashel,Republic of Ireland,"Cycling,Island,Offshore Island"
Glanteenassig Wood,http://www.coillteoutdoors.ie,+353(0)667163378,-10.029291257227,52.2057091344992,Kerry,Castlegregory,Republic of Ireland,"Bird Watching,Nature and Wildlife,Cycling,Fishing,Angling,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Commons Loop,http://www.carlingford.ie,+353(0)429373033,-6.18602350592071,54.0379000768116,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
Slieve Foye Loop,https://www.visitlouth.ie/explore-and-do/do/tours-and-trails-louth/cooley-and-slieve-foye-walks-and-hikes.html,+353(0)429373033,-6.18602350592071,54.0379000768116,Louth,Carlingford,Republic of Ireland,"Walking,Natural Landscape"
Clogrennane Wood Loop,https://carlowtourism.com/clogrennane-wood-looped-walk-2,,-6.96704855641666,52.7390557031802,Carlow,,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Mangan's Loop,,,-6.46419554011366,52.7990486241438,Wicklow,Tinahely,Republic of Ireland,"Walking,Natural Landscape"
Ballycumber Loop,http://www.irishtrails.ie/Trail/Ballycumber-loop/398/,,-6.46419554011366,52.7990486241438,Wicklow,Tinahely,Republic of Ireland,"Climbing,Activity Operator,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Kyle Loop,http://www.irishtrails.ie/Trail/Kyle-Loop/399/,,-6.46419554011366,52.7990486241438,Wicklow,Tinahely,Republic of Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Druid's Loop,http://www.irishtrails.ie/Trail/Druid-s-Loop---Bonane-Beara/472/,,-9.53664263940208,51.8160127296,Kerry,Bonane,Republic of Ireland,"Walking,Natural Landscape"
Fionn MacCool Loop,http://www.irishtrails.ie/Trail/Fionn-MacCool-Loop---Bonane-Beara/473/,,-9.53664263940208,51.8160127296,Kerry,Bonane,Republic of Ireland,"Walking,Natural Landscape"
Slí Cholmcille,http://www.irishtrails.ie/trail/Sli-Cholmcille/13/,+353(0)749721148,-8.71477570036982,54.6997030560807,Donegal,Glencolmcille,Republic of Ireland,"Walking,Natural Landscape"
Slí Na Finne,,+353(0)749721148,-8.1162042430152,54.8694215846037,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
Slí na Rosann,https://www.govisitdonegal.com/things-to-do/activities/sli-na-rossan-sli-dhun-na-ngall,+353(0)749721148,-8.3633753917632,54.9517634921175,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
The Western Way (Mayo),http://thewesternway.ie/,,-9.63915735447483,53.6475566101385,Mayo,Westport,Republic of Ireland,"Walking,Natural Landscape"
Freshford Loop,http://www.trailkilkenny.ie,,-7.39974116938163,52.7345016288219,Kilkenny,Freshford,Republic of Ireland,"Walking,Natural Landscape"
Nore Valley Walk (Kilkenny to Bennettsbridge section),http://www.trailkilkenny.ie/activity-trail/walking-trails/kilkenny-to-bennettsbridge,+353(0)860485553,-7.22997132879709,52.6450794674924,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Lough Avalla Farm Looped Walk,https://www.alltrails.com/trail/ireland/county-clare/farm-loop,,-9.0640874,52.9448216,Clare,Corofin,Ireland,"Walking,Natural Landscape"
Durrow Leafy Loops - Leafy loop,https://www.sportireland.ie/outdoors/walking/trails/durrow-leafy-loops-leafy-loop?county=35&grade=All&length=All#list,,-7.39579761602658,52.8468523376508,Laois,,Ireland,"Walking,Natural Landscape"
Carlow Town Walk - Slí na Sláinte,https://carlowtourism.com/carlow-town-walk/,353599130411,-6.9294889,52.8352498,Carlow,,Ireland,"Walking,Historic Houses and Castle,Public Park,Nature and Wildlife"
Coolmelagh - Prospect Loop,http://www.irishtrails.ie/Trail/Coolmelagh---Prospect-Loop/427/,,-6.58039065167167,52.68619665595,Wexford,Bunclody,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Castlemorris - Pheasant loop,http://www.irishtrails.ie,,-7.27888154851484,52.4705016012607,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
Lough Boora Sculpture Loop,https://www.loughboora.com/sculpture,353879904234,-7.72680199999999,53.220112,Offaly,Tullamore,Ireland,"Walking,Activity Operator,Public Sculpture"
Castlemorris Wood - Holly Loop,http://www.irishtrails.ie/Trail/Castlemorris---Holly-loop/120/,,-7.27840947972822,52.4706061720635,Kilkenny,Knocktopher,Ireland,"Walking,Natural Landscape"
O'Gorman's Lane Loop Walk,http://www.irishtrails.ie/Trail/O-Gormans-Lane-/583/,,-7.18228840808342,52.5923527730017,Kilkenny,Bennettsbridge,Ireland,"Walking,Natural Landscape"
Nore Valley Walk - (Thomastown to Inistioge Section),http://www.trailkilkenny.ie,353567752111,-7.13344700555285,52.5199709525296,Kilkenny,Kilkenny City,Ireland,"Walking,Natural Landscape"
Monicknew Trails,http://www.irishtrails.ie/Trail/Monicknew---Valley-Walk/256/,,-7.54632895409872,53.0759841249754,Laois,Clonaslee,Ireland,"Walking,Natural Landscape"
Portumna Forest Park - Rinmaher Walking Trail,https://www.coillte.ie/site/portumna-forest-park/,,-8.2484955102783,53.083038345911,Galway,Portumna,Ireland,"Walking,Natural Landscape"
Molly Loop,http://www.irishtrails.ie/trails.aspx?c=Louth,,-6.18798426826174,54.0432735750473,Louth,Grange,Ireland,"Walking,Natural Landscape"
Avondale Forest Park - Centenary Trail,https://www.coillte.ie/site/avondale-forest-park/,,-6.2265377338989,52.9164790018516,Wicklow,Rathdrum,Ireland,"Cycling,Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Broadford Ashford Walking Trails - Killagholehane Way,http://walkbroadfordashford.com/trail/killagholehane-way/,,-8.972707,52.346003,Limerick,Broadford,Ireland,"Walking,Ruins,Historic Houses and Castle"
Sliabh Liag Pilgrims Path - Cosán an Oilithrigh,http://www.sliabhliag.com/things-to-do/walking-tours/,,-8.661148,54.641357,Donegal,Teelin,Ireland,"Walking,Natural Landscape"
Killaspugbrone Loop,https://sligowalks.ie/walks/killaspugbrone-loop/,,-8.60900710883186,54.2716526115869,Sligo,Strandhill,Ireland,"Walking,Church Abbey,Monastery,Churches,Abbeys and Monastery,Ruins,Historic Houses and Castle"
Keel Uphill Downhill Loop,http://irishtrails.ie/Trail/Keel-Uphill-Downhill-Loop-Walk/666/,,-9.75639704597176,52.1763680812833,Kerry,Castlemaine,Ireland,"Walking,Natural Landscape"
Windgap Village Loop,http://facebook.com/windgap.tidytowns,+353(0)874186077,-7.39874181726611,52.4641415470614,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
Bearna Breac Loop,http://facebook.com/windgap.tidytowns,+353(0)874186077,-7.39869085529483,52.4641897546618,Kilkenny,Windgap,Ireland,"Walking,Natural Landscape"
The Tinahely Loop,http://www.irishtrails.ie/Trail/Tinahely-Loop/688/,35386396893,-6.4555599840927,52.7906337976792,Wicklow,Tinahely,Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Tóchar Daithí Bán,https://www.wildnephinnationalpark.ie/,+353(0)9849888,-9.823505,54.024505,Mayo,Westport,Republic of Ireland,"Bird Watching,Nature and Wildlife,Walking,Forest Park,Park and Forest Walk,National Park,National and Forest Park,Public Park"
Derrycassin Walks,http://visitlongford.ie/listings/derrycassin-woods-walk/,+353(0)433342577,-7.53875165305779,53.8307603495165,Longford,,Republic of Ireland,"Walking,Natural Landscape"
Newcastle Woods,https://www.longford.ie/en/visit/trails/newcastle-woodland-trail/,353433343509,-7.7261067,53.5621238,Longford,,Ireland,"Walking,Natural Landscape"
Ballinamuck Bog Loop,http://www.irishtrails.ie/Trail/Ballinamuck---Bog-Walk/139/,,-7.71748294931976,53.8668094562941,Longford,Ballinamuck,Ireland,"Walking,Natural Landscape"
The Cavan Way,https://www.thisiscavan.ie/fun/go/walking,353494378543,-8.01507229944411,54.1899060717684,Cavan,Dowra,Republic of Ireland,"Walking,Natural Landscape"
Tory Hill - Frochans Loop,http://www.trailkilkenny.ie,,-7.17550685964235,52.3678781162157,Kilkenny,Mullinavat,Republic of Ireland,"Walking,Natural Landscape"
Cavan Burren Park Walks,https://www.thisiscavan.ie/fun/go/walking,353499526121,-7.87730349724676,54.2912772769848,Cavan,Blacklion,Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape,Public Park,Nature and Wildlife"
The Suck Valley Way,https://www.discoversuckvalleyway.ie/index.php,353830698795,-8.26174457458819,53.5696520242896,Roscommon,Athleague,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Ruins,Historic Houses and Castle"
The East Clare Way,http://www.irishtrails.ie/trail/East-Clare-Way/16/,+353(0)656835912,-8.75882152363975,52.8684217484044,Clare,Tulla,Republic of Ireland,"Walking,Natural Landscape"
Ballyconnell Canal Loop,https://www.sportireland.ie/outdoors/walking/trails/ballyconnell-canal-loop,,-7.5831795308502,54.1161665453187,Cavan,Ballyconnell,Ireland,"Walking,Natural Landscape"
Cape Clear Gleann Loop,https://westcorkislands.com/gleann-loop-walk-cape-clear/,,-9.50026847744141,51.4417107717686,Cork,,Ireland,"Walking,Natural Landscape"
Slí Árainn Mhór - Arranmore Island Loop,,353749520533,-8.53629034834988,54.9963347391069,Donegal,,Republic of Ireland,"Walking,Natural Landscape"
Tullahought Kilmacoliver Loop Walk,http://www.trailkilkenny.ie,,-7.37310434813116,52.4225628373649,Kilkenny,,Republic of Ireland,"Walking,Natural Landscape"
Durrow Leafy Loops -Dunmore Woods Loop,https://www.sportireland.ie/outdoors/walking/trails/durrow-leafy-loops-dunmore-woods-loop,,-7.39442432501095,52.8476817254982,Laois,,Ireland,"Walking,Natural Landscape"
Abbeyleix Loops - Killamuck Bog,http://www.irishtrails.ie/Trail/Abbeyleix-Loops---Killamuck-Bog-loop/623/,,-7.35307920316802,52.9068305299692,Laois,Abbeyleix,Ireland,"Walking,Natural Landscape"
Carrowteige - Black Ditch Loop,https://www.irishtrails.ie/Trail/Carrowteige---Black-Ditch-loop/140/ ,,-9.98701605418876,54.2213826688354,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Carrowteige - Children of Lir Loop,http://www.irishtrails.ie/Trail/Carrowteige--Children-of-Lir--Loop/141/,,-9.8136380634661,54.3126117314066,Mayo,,Republic of Ireland,"Walking,Public Park,Nature and Wildlife,Public Sculpture"
Clare Island - Knocknaveen Loop,http://www.clareisland.info,,-9.9881419536732,53.7924554847732,Mayo,Clare Island,Republic of Ireland,"Walking,Island,Offshore Island"
Inishbiggle - Gubnadoogha Loop Walk,http://www.irishtrails.ie/Trail/Achill-Island---Gubnadoogha-Loop/494/,,-9.90875510650971,53.9960145887544,Mayo,Ballycroy,Republic of Ireland,"Walking,Island,Offshore Island"
Achill Island - Dooagh Loop Walk,http://www.irishtrails.ie/Trail/Achill-Island---Dooagh-Loop/498/,,-10.1242851467434,53.9729098377986,Mayo,,Republic of Ireland,"Walking,Natural Landscape"
Mulranny - Lookout Hill Loop,http://www.irishtrails.ie/Trail/Mulranny---Lookout-Hill-loop/592/,,-9.79020239645016,53.9040112024891,Mayo,Westport,Republic of Ireland,"Walking,Natural Landscape"
Grange Loops - Rooskey Loop,http://www.irishtrails.ie/trails.aspx?c=Louth,,-6.18867091376955,54.0428703926602,Louth,Grange,Ireland,"Walking,Natural Landscape"
Nire Valley Trails - Coumduala Looped Walk,http://www.irishtrails.ie/Trail/Nire-Valley-Trails---Coumduala-loop/617/,+353(0)51875823,-7.63491881650384,52.2769571844086,Waterford,,Ireland,"Walking,Natural Landscape"
Inishbiggle - Bull's Mouth Loop Walk,http://www.irishtrails.ie/Trail/Achill-Island---Bull-s-Mouth-Loop/495/,,-9.90078203395046,53.9951163669387,Mayo,,Republic of Ireland,"Walking,Island,Offshore Island"
Rinn Duin Castle Loop,https://www.sportireland.ie/outdoors/walking/trails/rinn-duin-castle-loop?county=53&grade=402&length=All#list,+353(0)906630252,-8.00432573022647,53.544196661934,Roscommon,,Republic of Ireland,"Walking,Castle,Historic Houses and Castle,Ruins"
Cronin's Yard Looped Walk,http://croninsyard.com/,,-9.63345924843568,52.073673013566,Kerry,Beaufort,Republic of Ireland,"Climbing,Activity Operator,Walking,Natural Landscape"
Emlagh Loop,http://www.irishtrails.ie/trail/Emlagh-Loop/685/,,-10.2730897585937,51.8246811402223,Kerry,,Ireland,"Walking,Beach,Natural Landscape"
The Sligo Way,https://sligowalks.ie/walks/the-sligo-way/,,-8.46535,54.2711,Sligo,,Republic of Ireland,"Walking,Forest Park,Park and Forest Walk,Natural Landscape"
Annaloughan Loop,http://www.irishtrails.ie/Trail/Annaloughan-loop/488/,+353(0)429352111,-6.18602350592071,54.0379000768116,Louth,Jenkinstown,Republic of Ireland,"Walking,Natural Landscape"
Glenbarrow Eco Walk,http://slievebloom.ie/walking/glenbarrow,,-7.52521460473349,53.149038742129,Laois,,Ireland,"Walking,Natural Landscape"
Great Western Greenway - Castlebar to Turlough,https://www.sportireland.ie/outdoors/walking/trails/great-western-greenway-castlebar-to-turlough,,-9.2919368,53.8581124,Mayo,Castlebar,Ireland,"Walking,Natural Landscape"
Monaghan Greenway,https://www.irishtrails.ie/Trail/Monaghan-Greenway/895/,,-6.96830819999999,54.2492434,Monaghan,,Ireland,"Walking,Natural Landscape"
Kilronan Castle Loop,https://www.sportireland.ie/outdoors/walking/trails/kilronan-castle-looped-walks-kilronan-castle-loop?county=53&grade=All&length=All#list,,-8.1812497,54.0632659,Roscommon,,Ireland,"Walking,Natural Landscape"
Ardmore Cliff Walk,https://www.irishtrails.ie/Trail/Ardmore-Cliff-Walk/570/,,-7.7151578,51.9487667999999,Waterford,Ardmore,Ireland,"Walking,Natural Landscape"
St. Kevin's Way - Pilgrim Path,https://www.irishtrails.ie/Trail/St-Kevins-Way---Pilgrim-Path-/371/,,-6.599053,53.0918211,Wicklow,Hollywood,Ireland,"Walking,Natural Landscape"
Blackwater Way - Avondhu,https://www.sportireland.ie/outdoors/walking/trails/blackwater-way-avondhu,35318608800,-7.99510279999999,52.2770793999999,Tipperary,Clogheen,Ireland,"Walking,Natural Landscape"
Ballycastle Sralagagh Walk,http://www.mayowalks.ie/WalkingTrails/LocalisedLoopWalks/BallycastleSralagaghLoop/,,-9.3724643,54.2796698,Mayo,Ballycastle,Ireland,"Walking,Natural Landscape"
Slish Wood Forest Walk,https://www.coillte.ie/site/slish-wood/,,-8.4012546,54.2309113,Sligo,,Ireland,"Walking,Natural Landscape"
 Muckish - Lúb Loch Achair,https://www.govisitdonegal.com/things-to-do/activities/muckish-lub-loch-achair,,-7.90946759999999,55.1233497,Donegal,Creeslough,Ireland,"Walking,Natural Landscape"
Benbulben Loop,https://www.sportireland.ie/outdoors/walking/trails/ben-bulben-loop,,-8.47444439999999,54.3666667,Sligo,,Ireland,"Walking,Natural Landscape"
 Belleek Nature Trail,https://www.coillte.ie/site/belleek/,,-9.1550693,54.1149482,Mayo,Ballina,Ireland,"Walking,Natural Landscape"
Coole Park Seven Woods Trail,https://www.coolepark.ie/trails/,,-8.83696999999999,53.0885494,Galway,,Ireland,"Walking,Natural Landscape"
Dunbrody Abbey and Visitor Centre,http://www.dunbrodyabbey.com,353862759149,-6.95523,52.282115,Wexford,Campile,Ireland,"Craft,Shopping,Walking,Historic Houses and Castle,Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Cafe,Food and Drink,Activity Operator,Tour"
Drogheda Museum Millmount,http://www.millmount.net,353419833097,-6.35025503802876,53.7117853993422,Louth,Drogheda,Republic of Ireland,"Craft,Shopping,Learning,Museums and Attraction,Artisan,Food and Drink,Restaurant,Cafe,Tour"
The National Garden Exhibition Centre - Arboretum Kilquade,https://www.arboretum.ie/arboretum-kilquade,35315313488,-6.08867339999999,53.1130485,Wicklow,Kilquade,Ireland,"Restaurant,Gardening,Nature and Wildlife,Gardens,Garden,Food and Drink,Food Shops,Shopping"
Hyde Bridge Gallery,https://www.yeatssociety.com/,353719142693,-8.474933,54.272077,Sligo,Sligo Town,Republic of Ireland,"Craft,Shopping,Art Gallery"
Monaghan County Museum,https://monaghan.ie/museum/,3534782928,-6.9724846,54.2478562,Monaghan,,Ireland,"Historic Houses and Castle,Museums and Attraction,Tour"
Knock Museum,https://www.knockshrine.ie/key-places-to-visit/knock-museum/,353949388100,-8.91715329999999,53.7900043,Mayo,Knock,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery,Museums and Attraction,Cafe,Food and Drink"
Michael J Quill Centre,http://www.historic-ireland.com/places/778.html,353646685511,-9.46143,51.902656,Kerry,Kilgarvan,Republic of Ireland,Museums and Attraction
Donegal Railway Heritage Centre,http://donegalrailway.com/,353749722655,-8.10802239999999,54.656847,Donegal,Milltown,Ireland,"Transport,Activity Operator,Museums and Attraction,Tour,Coach,Road"
Garter Lane Art Gallery,http://www.garterlane.ie,+353(0)51855038,-7.116447,52.262574,Waterford,Waterford City,Republic of Ireland,"Learning,Movies,Cinema,Venue,Activity Operator,Art Gallery,Music"
Waterford County Museum,https://www.waterfordmuseum.ie/exhibit/web,3535845960,-7.61940109999999,52.0886326,Waterford,Dungarvan,Ireland,"Museums and Attraction,Tour"
Kilgarvan Motor Museum,https://www.facebook.com/Kilgarvan-Motormuseum-708264642618370,353646685346,-9.43416399999999,51.889134,Kerry,,Ireland,"Museums and Attraction,Cafe,Food and Drink,Tour"
Sonairte The National Ecology Centre,http://www.sonairte.ie,353419827572,-6.257022,53.6780762,Meath,Laytown,Ireland,"Agriculture,Nature and Wildlife,Food and Drink,Restaurant,Gardening,Learning,Activity Operator,Natural Landscape,Cafe,Local Produce"
River Inny,http://www.fishinginireland.info,35318842600,-7.32313105065918,53.6684318616526,Dublin,Swords,Republic of Ireland,"Fishing,Angling,River,Discovery Point"
Isaac Butt Heritage Centre,https://www.facebook.com/isaacbuttheritagecommittee,353749133108,-7.9324749,54.8384012,Donegal,,Ireland,Museums and Attraction
West Cork Music,https://www.westcorkmusic.ie/,3532752788,-9.4489112,51.6804291,Cork,Bantry,Ireland,"Learning,Literary Ireland,Venue,Music"
St Brigid’s Cathedral & Round Tower,http://www.stbrigidscathedral.com/,,-6.91137099999999,53.1579272,Kildare,,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Croppies Grave,http://www.igp-web.com/Carlow/croppies_graves.htm,,-6.9391607,52.8389539,Carlow,,Ireland,Public Sculpture
Duiske Abbey,https://villageofthemonks.com/duiskeabbey,,-6.9546547,52.5411102,Kilkenny,Graiguenamanagh,Ireland,"Historic Houses and Castle,Church Abbey,Monastery,Churches,Abbeys and Monastery"
Newtown Castle,https://www.newtowncastle.com/history,353657077200,-9.16938609999999,53.1033781999999,Clare,Newtown,Ireland,"Walking,Castle,Historic Houses and Castle"
Stephen Bennett Studio Gallery,https://stephenbennett.net/,353877923205,-8.437291,54.78503,Donegal,Ardara,Ireland,"Craft,Shopping,Art Gallery"
Carran Medieval Church,,353656828366,-9.0760449,53.0376019,Clare,Carran,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Gleninagh Castle,,,-9.205829,53.1377228,Clare,,Ireland,"Castle,Historic Houses and Castle"
Kilnaboy Medieval Church and Round Tower,,353656828366,-9.079651,52.972126,Clare,Ennis,Republic of Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Leamaneh Castle,,,-9.1399531,52.987804,Clare,,Ireland,"Castle,Historic Houses and Castle"
Quin Abbey,https://www.clare.ie/do/quin-abbey/,35391844084,-8.86307,52.8191037,Clare,Quin,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Temple Cronan Early Christian Church,,353656828366,-9.0609731,53.0461691999999,Clare,,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Saint Cronan's 10th Century Church Tuamgraney,http://www.discoverloughderg.ie/tuamgraney-church,35361921351,-8.5393666,52.8966945,Clare,Tuamgraney,Ireland,"Church Abbey,Monastery,Churches,Abbeys and Monastery"
Carrigogunnell Castle,http://www.megalithicireland.com/Carrigogunnell%20Castle.html,35361317522,-8.741821,52.646438,Limerick,Limerick City,Republic of Ireland,"Castle,Historic Houses and Castle"
Glenquin Castle,https://www.limerick.ie/discover/eat-see-do/history-heritage/historic-attractions/glenquin-castle,35361396255,-9.106741,52.3839378999999,Limerick,Glenquin,Ireland,"Castle,Historic Houses and Castle"
